發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-25090503,F9302-25090503,BK,3,SCK-3814,N,2.08333,Rapido-1,600,1300,1100,30*4,71.75,282.62,6.25,2011071-4D,N,15.26,15.71,0.44,,0.48,0.48,0.00,-1.17,-1.19,-0.01,,,,,,,0.44,1724,0.56,1863,0.55,1391,0.2125,1862,0.025,無,0,無,0,無,0
F9302-25090504,F9302-25090504,BK,3,SCK-3814,N,2.08333,Rapido-1,600,1300,1100,30*4,69.50,280.76,6.25,2011071-4D,N,15.26,15.47,0.21,,0.48,0.44,-0.05,-1.17,-1.07,0.10,,,,,,,0.26,1724,0.56,1863,0.55,1391,0.2125,1862,0.025,無,0,無,0,無,0
F9302-25090870,F9302-25090870,YE,2,SCK-3673ST,N,0.69444,Rapido-2,400,1250,1050,30*30,50.00,435.98,10.00,A1605-24080088-1B,N,53.35,52.87,-0.48,,-5.55,-6.01,-0.46,45.61,45.10,-0.52,,,,,,,0.44,1142,0.891,1191,0.2058,1565,0.196,1430,0.07446,1201,0.0012,無,0,無,0
F9302-25090906,F9302-25090906,OR,2,SCKP-463S,N,0.83333,Rapido-2,400,1250,1000,30*40,55.50,36.27,10.75,A1605-24060172-2A,Y,69.79,70.05,0.25,,37.97,37.35,-0.62,14.09,13.05,-1.03,,,,,,,0.69,1351,0.2093,1201,0.02266,1565,0.00202,無,0,無,0,無,0,無,0
F9302-25091029,F9302-25091029,OL,3,SCK-3922,Y,0.59524,Rapido-2,400,1300,1000,35*40,81.50,97.80,6.00,A1605-24100003-2A,N,47.89,43.00,-4.90,,2.13,1.21,-0.91,19.37,15.11,-4.26,,,,,,,3.56,1724,0.46659,1576,0.28355,1142,0.09476,1201,0.0012,無,0,無,0,無,0
F9302-25091166,F9302-25091166,BR,1,SW-80264C07,Y,1.04167,Rapido-2,100,1250,950,35*40,17.00,922.24,13.16,A1605-25080048-2A,N,57.43,57.08,-0.35,,1.33,1.14,-0.19,6.89,6.45,-0.44,,,,,,,0.50,1576,0.115,1142,0.045,1391,0.043,1722,0.04,無,0,無,0,無,0
F9302-25091213,F9302-25091213,RE,3,SCK-3673,N,0.69444,Rapido-2,400,1300,1100,30*30,65.50,410.02,8.13,2009044-2J,N,33.75,32.72,-1.03,,49.33,48.77,-0.56,18.74,19.06,0.31,,,,,,,0.69,1383,1.926,1384,1.89,1374,0.018,1191,0.0052,1350,0.005,1360,0.004,1353,0.003
F9302-25091214,F9302-25091214,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,62.25,445.78,8.06,2007098-2A,N,20.68,20.42,-0.26,,2.81,2.97,0.16,-12.63,-12.37,0.26,,,,,,,0.39,1578,1.2168,1724,0.863,1420,0.773,1565,0.742,1567,0.424,無,0,無,0
F9302-25091218,F9302-25091218,BK,7,SCK-1424,N,1.25,Rapido-2,50,1200,1000,25*3,18.00,1105.89,13.64,A1605-24090173-1A,N,19.41,19.45,0.04,,-0.16,-0.33,-0.17,-3.64,-3.78,-0.15,,,,,,,0.28,1862,2.15,1391,0.33,1142,0.073,無,0,無,0,無,0,無,0
F9302-25091267,F9302-25091267,BK,3,SCK-3549,N,1.04167,Rapido-1,600,1250,1050,30*40,60.25,362.85,6.94,1911097-1A,N,15.26,15.49,0.22,,0.48,0.51,0.02,-1.17,-1.06,0.11,,,,,,,0.27,1724,1.056,1430,0.57,1588,0.425,1142,0.12,1862,0.033,無,0,無,0
F9302-25091282,F9302-25091282,BK,3,SCK-3549,N,1.04167,Rapido-1,600,1250,1050,30*40,73.75,293.40,6.94,1911097-1A,N,15.26,15.71,0.44,,0.48,0.65,0.17,-1.17,-1.10,0.08,,,,,,,0.51,1724,1.056,1430,0.57,1588,0.425,1142,0.12,1862,0.033,無,0,無,0
F9302-25091313,F9302-25091313,RE,3,SCK-3673,N,0.69444,Rapido-2,400,1300,1100,30*30,61.50,363.97,8.06,2009044-2J,N,33.75,32.90,-0.85,,49.33,48.80,-0.53,18.74,19.17,0.42,,,,,,,0.64,1383,1.926,1384,1.89,1374,0.018,1191,0.0052,1350,0.005,1360,0.004,1353,0.003
F9302-25091360,F9302-25091360,GY,1,SCK-3562,N,0.69444,Rapido-2,100,1250,950,30*30,17.00,1161.59,17.24,2012146-1B,N,59.48,58.93,-0.55,,-0.90,-0.65,0.25,-3.56,-3.87,-0.31,,,,,,,0.54,1530,0.1764,1400,0.0715,1231,0.035,1181,0.02755,無,0,無,0,無,0
F9302-25091380,F9302-25091380,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,64.50,383.19,8.03,2007098-2A,N,20.68,20.85,0.17,,2.81,2.71,-0.09,-12.63,-12.40,0.23,,,,,,,0.23,1578,1.2168,1724,0.863,1420,0.773,1565,0.742,1567,0.424,無,0,無,0
F9302-25091384,F9302-25091384,RE,3,SCK-3673,N,0.69444,Rapido-2,400,1300,1100,30*30,51.00,419.71,9.71,2009044-2J,N,33.75,32.85,-0.90,,49.33,48.85,-0.48,18.74,19.11,0.36,,,,,,,0.63,1374,1.926,1383,1.926,1384,1.89,1191,0.546,1350,0.525,1360,0.428,1353,0.33
F9302-25091428,F9302-25091428,BK,3,SW-80779C0,Y,1.04167,Rapido-2,400,1300,1000,35*40,57.00,600.11,5.52,A1605-23110101-1D,N,16.25,17.33,1.08,,0.67,0.93,0.26,-0.70,-1.11,-0.42,,,,,,,1.26,1862,4.14,1722,0.42,1588,0.03,1848,0.007,無,0,無,0,無,0
F9302-25091454,F9302-25091454,RE,6,SW-8829C0,Y,0.69444,Rapido-2,400,1200,1000,25*3,33.50,567.82,16.67,A1605-25070152-5A,N,41.13,41.49,0.36,,56.06,57.35,1.28,11.77,12.96,1.19,,,,,,,0.78,1384,2.23,1362,1.23,無,0,無,0,無,0,無,0,無,0
F9302-25091476,F9302-25091476,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1300,1000,30*30,85.00,326.15,6.41,1911195-3A,N,16.18,16.67,0.49,,0.51,0.40,-0.11,-1.46,-1.45,0.01,,,,,,,0.50,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.12,無,0,無,0
F9302-25091528,F9302-25091528,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1250,1000,30*40,91.50,303.11,6.31,1911195-3A,N,16.18,16.46,0.29,,0.51,0.42,-0.08,-1.46,-1.43,0.03,,,,,,,0.30,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.12,無,0,無,0
F9302-25091724,F9302-25091724,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1250,1000,30*40,86.50,334.72,6.67,1911195-3A,N,16.18,16.59,0.42,,0.51,0.45,-0.06,-1.46,-1.44,0.02,,,,,,,0.41,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.12,無,0,無,0
F9302-25091826,F9302-25091826,GY,1,SCK-2917,N,0.69444,Rapido-1,600,1350,1150,30*30,62.25,502.94,8.58,A1605-23090030-13B,Y,72.83,72.79,-0.05,,-4.88,-4.99,-0.11,3.46,4.35,0.89,,,,,,,0.99,1530,0.04284,1181,0.02397,1400,0.01802,無,0,無,0,無,0,無,0
F9302-25091861,F9302-25091861,BL,2,SCK-2917,N,0.69444,Rapido-2,400,1350,1150,25*25,75.00,418.88,9.26,A1605-23090030-5B,Y,53.01,52.75,-0.26,,-6.17,-6.13,0.04,-15.76,-14.84,0.92,,,,,,,0.66,1430,0.05626,1142,0.0306,1565,0.0042,無,0,無,0,無,0,無,0
F9302-25091949,F9302-25091949,OR,2,SCKP-463SP3,N,0.83333,Rapido-1,600,1200,1000,25*3,77.25,498.98,8.26,A1605-24110056-1A,Y,69.87,70.51,0.64,,37.81,36.90,-0.91,14.00,12.18,-1.81,,,,,,,1.24,1201,0.02156,1351,0.00205,1565,0.001584,無,0,無,0,無,0,無,0
F9302-25092207,F9302-25092207,TQ,3,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*40,98.00,275.99,6.97,A1605-24030236-1A,N,56.48,56.27,-0.21,,-30.55,-30.36,0.20,-28.07,-28.13,-0.05,,,,,,,0.14,1587,1.2375,1589,0.75,1191,0.0194,無,0,無,0,無,0,無,0
F9302-25092214,F9302-25092214,KH,2,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*40,100.50,211.58,6.94,A1605-24090130-4B,N,65.76,65.16,-0.60,,3.46,3.65,0.19,20.84,20.41,-0.43,,,,,,,0.44,1391,0.052,1565,0.04459,1191,0.00104,1201,0.00035,無,0,無,0,無,0
F9302-25092285,F9302-25092285,KH,2,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*40,109.75,212.70,6.94,A1605-24090130-4B,N,65.76,65.01,-0.75,,3.46,3.61,0.15,20.84,20.64,-0.20,,,,,,,0.38,1391,0.052,1565,0.04459,1201,0.035,1191,0.00104,無,0,無,0,無,0
F9302-25092288,F9302-25092288,GY,2,SCK-3814,N,2.08333,Rapido-2,800,1300,1100,30*4,54.75,280.46,6.25,A1605-22110058-4B,N,42.60,42.59,-0.01,,-0.43,-0.50,-0.06,-1.00,-1.29,-0.28,,,,,,,0.41,1565,0.3213,1430,0.12555,1142,0.08075,1722,0.0465,無,0,無,0,無,0
F9302-25092451,F9302-25092451,KH,2,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*40,89.50,220.73,6.94,A1605-24090130-4B,N,65.76,65.67,-0.09,,3.46,3.41,-0.05,20.84,20.76,-0.08,,,,,,,0.08,1191,0.10712,1391,0.052,1565,0.04459,1201,0.00035,無,0,無,0,無,0
F9302-25093305,F9302-25093305,BK,3,SK-1008C0,N,0.83333,Rapido-1,600,1150,1000,25*2,143.75,159.78,12.42,2008151-5A,N,18.72,18.49,-0.23,,-1.15,-1.25,-0.10,-2.28,-2.61,-0.33,,,,,,,0.48,1862,2.016,1430,0.25,1588,0.17,1142,0.16,1848,0.008,無,0,無,0
F9302-25093307,F9302-25093307,BK,3,SK-1008C0,N,0.83333,Rapido-2,800,1150,1000,25*2,95.75,244.74,12.50,A1605-22060153-1A,N,18.29,18.41,0.12,,0.00,0.11,0.11,-2.11,-2.04,0.07,,,,,,,0.20,1862,1.995,1724,0.525,1430,0.204,1848,0.01,無,0,無,0,無,0
F9302-25093454,F9302-25093454,BK,7,SW-80352C01,Y,0.69444,Rapido-1,600,1200,1000,25*3,66.25,325.27,12.82,A1605-24100221-1F,N,18.13,17.90,-0.23,,0.91,0.77,-0.14,-0.77,-0.52,0.25,,,,,,,0.44,1862,3.6,1722,0.6386,1391,0.0954,1191,0.024,無,0,無,0,無,0
F9302-25093883,F9302-25093883,BL,2,SCK-464SAM1,N,0.69444,Rapido-2,50,1200,900,30*30,9.50,1358.32,11.11,A1605-25090003-2A,N,55.00,53.97,-1.03,,1.74,3.04,1.30,-29.82,-30.26,-0.44,,,,,,,1.19,1567,0.32,1430,0.067,無,0,無,0,無,0,無,0,無,0
F9302-25093942,F9302-25093942,BK,7,SCK-1424,N,1.25,Rapido-1,600,1200,1000,25*3,146.00,157.80,14.29,A1605-24090173-1A,N,19.41,19.13,-0.28,,-0.16,0.23,0.39,-3.64,-3.12,0.52,,,,,,,0.82,1862,2.2575,1391,0.0033,1142,0.00073,無,0,無,0,無,0,無,0
F9302-25100022,F9302-25100022,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*2,181.00,105.29,12.50,1711131-1A,N,32.95,31.75,-1.20,,-0.86,-0.97,-0.12,-1.88,-1.97,-0.09,,,,,,,0.73,1576,0.73645,1724,0.54,1430,0.044,無,0,無,0,無,0,無,0
F9302-25100024,F9302-25100024,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*2,182.00,96.12,12.50,1711131-1A,N,32.95,31.26,-1.68,,-0.86,-0.90,-0.05,-1.88,-1.79,0.08,,,,,,,0.99,1576,0.73645,1724,0.54,1430,0.044,無,0,無,0,無,0,無,0
F9302-25100112,F9302-25100112,GR,3,SCK-4186,N,1.04167,Rapido-1,600,1250,1050,30*40,70.00,287.79,9.26,A1605-23100013-3A,N,41.51,41.92,0.41,,-10.47,-10.32,0.15,4.48,4.54,0.07,,,,,,,0.26,1191,0.32,1430,0.1188,1593,0.0043,無,0,無,0,無,0,無,0
F9302-25100114,F9302-25100114,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*2,175.00,106.06,12.50,1711131-1A,N,32.95,32.20,-0.74,,-0.86,-0.86,0.00,-1.88,-1.76,0.12,,,,,,,0.46,1576,0.73645,1724,0.54,1430,0.044,無,0,無,0,無,0,無,0
F9302-25100151,F9302-25100151,GR,3,SCK-3549,N,1.04167,Rapido-1,600,1300,1100,30*40,51.75,352.68,6.94,1911207-7A,N,31.57,32.31,0.74,,-0.06,-0.13,-0.07,6.25,6.30,0.05,,,,,,,0.46,1142,0.1089,1430,0.07326,1724,0.0092,1576,0.0081,無,0,無,0,無,0
F9302-25100174,F9302-25100174,RE,3,SCK-3549,N,1.04167,Rapido-2,400,1300,1100,30*40,70.50,360.88,6.99,A1605-24090189-2A,N,34.66,34.81,0.16,,33.06,33.37,0.31,23.02,22.87,-0.16,,,,,,,0.29,1383,2.091,1201,0.6615,1142,0.515,1565,0.152,無,0,無,0,無,0
F9302-25100305,F9302-25100305,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,63.00,373.33,8.16,2007098-2A,N,20.68,20.49,-0.19,,2.81,2.68,-0.12,-12.63,-12.23,0.40,,,,,,,0.35,1420,2,1578,1.2168,1724,0.00863,1565,0.007,1567,0.004,無,0,無,0
F9302-25100333,F9302-25100333,BL,4,SCK-3814,N,2.08333,Rapido-1,600,1300,1100,30*4,53.75,614.83,9.09,A1605-21040233-2B,Y,29.94,31.68,1.74,,-2.01,-2.24,-0.23,-15.24,-14.89,0.35,,,,,,,1.15,1565,0.441,1430,0.0966,1593,0.0057,1724,0.0024,無,0,無,0,無,0
F9302-25100336,F9302-25100336,BL,3,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*40,53.00,637.51,9.49,A1605-23100012-1B,Y,23.50,24.34,0.85,,0.33,0.56,0.22,-21.58,-22.05,-0.47,,,,,,,0.71,1578,0.799,1722,0.0411,1593,0.015,1391,0.00006,無,0,無,0,無,0
F9302-25100356,F9302-25100356,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,64.25,451.11,8.06,2007098-2A,N,20.68,20.23,-0.45,,2.81,2.63,-0.18,-12.63,-12.04,0.59,,,,,,,0.59,1578,1.2168,1420,0.773,1724,0.00863,1565,0.007,1567,0.004,無,0,無,0
F9302-25100370,F9302-25100370,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,63.25,367.08,8.13,2007098-2A,N,20.68,21.07,0.39,,2.81,2.68,-0.12,-12.63,-12.33,0.30,,,,,,,0.40,1578,1.2168,1724,0.00863,1420,0.00773,1565,0.007,1567,0.004,無,0,無,0
F9302-25100373,F9302-25100373,RE,3,SCK-3549,N,1.04167,Rapido-2,400,1250,1050,30*40,52.00,596.31,9.26,A1605-24090189-2A,Y,34.66,35.41,0.76,,33.06,34.08,1.02,23.02,23.69,0.67,,,,,,,0.68,1383,2.091,1201,0.6615,1142,0.515,1565,0.152,無,0,無,0,無,0
F9302-25100430,F9302-25100430,NB,3,SCK-3673,N,0.69444,Rapido-1,600,1300,1100,30*30,51.00,491.75,8.16,2007098-2A,N,20.68,20.73,0.05,,2.81,2.67,-0.14,-12.63,-12.31,0.33,,,,,,,0.28,1578,1.2168,1420,0.773,1565,0.742,1724,0.00863,1567,0.004,無,0,無,0
F9302-25100611,F9302-25100611,WH,3,FS-8969C0,N,0.69444,Rapido-2,400,1250,1050,30*30,44.00,276.61,12.50,A1605-24100132-7A,N,88.50,88.86,0.36,,0.45,0.58,0.14,8.49,7.80,-0.69,,,,,,,0.67,1111,0.014892,1310,0.009408,1510,0.00294,無,0,無,0,無,0,無,0
F9302-25100651,F9302-25100651,GR,5,SCK-4482,Y,0.69444,Rapido-2,200,1250,1000,35*40,55.00,38.98,8.77,A1605-25030096-1A,Y,31.76,31.61,-0.16,,-0.21,0.26,0.47,6.47,6.68,0.22,,,,,,,0.67,1578,0.808,1191,0.4032,1391,0.1649,1722,0.0054,無,0,無,0,無,0
F9302-25100777,F9302-25100777,BK,3,SCK-4186,N,1.04167,Rapido-1,600,1250,1000,30*20,54.50,461.49,11.49,A1605-23040175-5C,N,15.33,15.74,0.41,,0.62,0.61,-0.01,-1.42,-1.24,0.19,,,,,,,0.47,1862,4.375,1430,0.2325,1142,0.108,1848,0.008,1722,0.0045,無,0,無,0
F9302-25100992,F9302-25100992,GY,5,SW-80136C0,N,0.69444,Rapido-2,400,1300,1100,25*30,47.00,625.43,11.11,A1605-25050154-1A,Y,34.04,34.41,0.37,,-2.71,-2.23,0.47,0.93,0.71,-0.23,,,,,,,0.68,1576,0.92,1191,0.36,1430,0.27,1724,0.25,無,0,無,0,無,0
F9302-25100995,F9302-25100995,BK,3,SK-1288,N,2.08333,Rapido-1,600,1400,1200,40*3,69.00,475.65,6.25,A1605-24090006-1G,Y,15.83,16.57,0.74,,0.24,-0.36,-0.60,-0.05,-0.04,0.01,,,,,,,1.17,1862,2.9,1142,0.517,1430,0.47,無,0,無,0,無,0,無,0
F9302-25100999,F9302-25100999,NB,3,SCK-3852,N,1.04167,Rapido-1,600,1350,1100,30*40,80.00,318.80,6.25,A1605-21020125-1E,N,19.01,20.39,0.35,,1.83,2.81,0.16,-14.81,-12.44,0.23,,,,,,,0.42,1578,1.955,1430,0.5712,1724,0.006,無,0,無,0,無,0,無,0
F9302-25101033,F9302-25101033,OL,5,SK-1216C0,N,0.83333,Rapido-1,600,1200,950,25*25,387.00,48.46,12.50,A1605-25040025-6B,N,26.80,27.17,0.37,,-6.79,-6.98,-0.19,-0.35,-0.64,-0.28,,,,,,,0.45,1578,1.23192,1191,0.4345,1722,0.30345,1391,0.02052,無,0,無,0,無,0
F9302-25101075,F9302-25101075,NB,3,SK-1083C0,N,1.25,Rapido-1,600,1200,1000,30*3,60.50,943.75,10.71,2002047-1A,Y,18.26,18.93,0.67,,2.04,2.28,0.24,-11.53,-11.29,0.24,,,,,,,0.71,1578,1.508,1862,0.5175,1430,0.4465,1724,0.003,無,0,無,0,無,0
F9302-25101109,F9302-25101109,BK,7,SK-1216C0,N,0.83333,Rapido-2,400,1200,900,25*20,89.50,259.84,10.39,A1605-25090149-1A,N,18.35,18.19,-0.16,,-0.06,0.26,0.32,-2.81,-2.54,0.27,,,,,,,0.56,1862,2,1724,0.3,1430,0.19,無,0,無,0,無,0,無,0
F9302-25101415,F9302-25101415,BK,3,SK-1164C0,N,1.04167,Rapido-1,600,1300,1000,30*40,46.25,829.75,11.11,1911055-3A,Y,15.26,16.04,0.78,,0.48,0.36,-0.12,-1.17,-1.27,-0.10,,,,,,,0.79,1862,3.08,1430,0.45,1588,0.4,1142,0.013,1724,0.01,1848,0.005,無,0
F9302-25101426,F9302-25101426,GY,1,SK-1083C0,N,1.25,Rapido-2,400,1200,1000,25*3,64.50,24.93,10.10,A1605-24090125-1A,N,83.30,83.25,-0.06,,-1.95,-2.12,-0.17,4.98,4.73,-0.25,,,,,,,0.37,1111,0.02121,1310,0.015,1510,0.0132,無,0,無,0,無,0,無,0
F9302-25101427,F9302-25101427,GY,1,SK-1083C0,N,1.25,Rapido-2,400,1200,1000,25*3,65.00,291.05,11.63,A1605-24090125-1A,N,83.30,83.03,-0.28,,-1.95,-2.20,-0.26,4.98,4.79,-0.19,,,,,,,0.41,1111,0.02121,1310,0.015,1510,0.0132,無,0,無,0,無,0,無,0
F9302-25101428,F9302-25101428,WH,3,SCK-4160,N,1.04167,Rapido-2,400,1250,1000,40*30,46.00,564.89,6.25,A1605-23110198-1A,Y,90.59,89.84,-0.75,,-0.59,-0.73,-0.14,5.37,4.76,-0.60,,,,,,,0.72,1111,0.005832,1310,0.003652,1510,0.002112,無,0,無,0,無,0,無,0
F9302-25101451,F9302-25101451,NB,7,SK-1216C0,N,0.83333,Rapido-1,600,1200,900,25*25,104.00,353.12,9.38,A1605-25090149-4A,Y,22.41,23.36,0.95,,2.37,2.47,0.09,-14.57,-14.83,-0.26,,,,,,,0.75,1578,0.9,1593,0.9,1430,0.435,1724,0.0046,無,0,無,0,無,0
F9302-25101453,F9302-25101453,BK,3,SCK-3521,N,1.04167,Rapido-1,600,1100,600,40*40,191.00,119.28,4.69,1905031-8A,N,15.26,14.48,-0.79,,0.48,0.32,-0.16,-1.17,-1.22,-0.05,,,,,,,0.80,1862,1.845,1430,0.192,1142,0.024,1724,0.0055,1848,0.005,無,0,無,0
F9302-25101492,F9302-25101492,GY,1,SW-80425C0P3,Y,1.04167,Rapido-2,400,1300,1000,40*50,61.50,831.64,5.50,A1605-24120176-2B,Y,70.95,70.45,-0.50,,0.09,0.11,0.02,3.09,3.78,0.69,,,,,,,0.86,1565,0.027,1391,0.0216,1142,0.0152,無,0,無,0,無,0,無,0
F9302-25101573,F9302-25101573,GY,1,SW-81105C0,Y,1.04167,Rapido-2,400,1300,900,45*40,40.50,752.94,5.71,A1605-25060102-1J,Y,66.98,66.55,-0.43,,-1.59,-1.20,0.39,-0.22,-0.73,-0.51,,,,,,,0.89,1310,0.067,1111,0.063,1510,0.00073,無,0,無,0,無,0,無,0
F9302-25101588,F9302-25101588,BK,3,SK-1008C0,N,0.83333,Rapido-1,600,1250,1050,25*2,60.75,463.93,20.00,A1605-24040031-1A,N,17.72,17.94,0.23,,-0.85,-0.71,0.15,-2.86,-2.89,-0.03,,,,,,,0.28,1862,3.193,1724,0.252,1430,0.115,無,0,無,0,無,0,無,0
F9302-25101593,F9302-25101593,BK,3,SCK-3549,N,1.04167,Rapido-1,600,1300,1100,30*40,52.25,450.35,7.41,1911097-1A,N,15.26,15.00,-0.26,,0.48,0.38,-0.10,-1.17,-1.06,0.11,,,,,,,0.33,1862,3.96,1430,0.57,1588,0.425,1142,0.12,1724,0.0096,無,0,無,0
F9302-25101608,F9302-25101608,WH,3,SCK-3521,N,1.04167,Rapido-2,400,1100,600,40*50,89.50,194.04,6.00,A1605-23040047-2G,N,90.84,90.30,-0.54,,0.23,-0.01,-0.25,7.64,7.78,0.13,,,,,,,0.41,1111,0.008772,1310,0.004969,1510,0.001546,無,0,無,0,無,0,無,0
F9302-25101611,F9302-25101611,NB,7,SK-1216C0,N,0.83333,Rapido-1,600,1200,900,25*25,65.50,509.56,15.38,A1605-25090149-4A,Y,22.41,22.83,0.42,,2.37,2.49,0.11,-14.57,-14.80,-0.23,,,,,,,0.37,1578,0.9,1593,0.9,1430,0.435,1724,0.0046,無,0,無,0,無,0
F9302-25101657,F9302-25101657,WH,3,SCK-4160,N,1.04167,Rapido-2,400,1250,1000,40*30,48.00,328.13,6.29,A1605-23110198-1A,N,90.59,89.97,-0.62,,-0.59,-0.79,-0.20,5.37,4.98,-0.39,,,,,,,0.54,1111,0.005832,1310,0.003652,1510,0.002112,無,0,無,0,無,0,無,0
F9302-25101667,F9302-25101667,BK,3,SK-1107C0,N,0.83333,Conveyor-1,300,85,270,120,515.00,50.93,10.00,A1605-22030024-3B,N,17.27,17.47,0.20,,0.48,0.54,0.06,-0.59,-0.64,-0.05,,,,,,,0.22,1862,2.3,1142,0.46,1384,0.45,1391,0.368,1848,0.009,無,0,無,0
F9302-25101669,F9302-25101669,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1250,1000,30*40,92.00,297.47,6.25,1911195-3A,N,16.18,16.50,0.32,,0.51,0.33,-0.18,-1.46,-1.54,-0.07,,,,,,,0.41,1862,4.5625,1722,0.616,1430,0.165,1848,0.005,1588,0.002,無,0,無,0
F9302-25101672,F9302-25101672,BL,3,SCK-3562,N,0.69444,Rapido-2,100,1250,1000,30*40,22.50,1548.62,10.00,A1605-22030003-1A,Y,21.46,22.22,0.76,,0.50,0.42,-0.09,-11.76,-11.82,-0.06,,,,,,,0.61,1593,1.926,1724,0.7038,1578,0.5885,1430,0.3388,無,0,無,0,無,0
F9302-25101683,F9302-25101683,BK,3,SK-1008C0,N,0.83333,Rapido-1,600,1200,1000,25*25,63.00,608.51,9.09,A1605-24020098-1A,Y,23.57,24.06,0.49,,-1.42,-1.77,-0.34,-1.18,-1.85,-0.67,,,,,,,1.06,1862,1.805,1430,0.21,1142,0.168,無,0,無,0,無,0,無,0
F9302-25101698,F9302-25101698,WH,3,SCK-4160,N,1.04167,Rapido-2,400,1250,1000,40*30,30.00,478.63,8.00,A1605-23110198-1A,N,90.59,89.86,-0.73,,-0.59,-0.68,-0.09,5.37,5.00,-0.36,,,,,,,0.48,1111,0.005832,1310,0.003652,1510,0.002112,無,0,無,0,無,0,無,0
F9302-25101723,F9302-25101723,BK,3,SK-1107C0,N,0.83333,Conveyor-1,300,85,270,120,390.00,64.43,10.00,A1605-22030024-3B,N,17.27,17.13,-0.14,,0.48,0.48,0.00,-0.59,-0.42,0.17,,,,,,,0.28,1862,2.3,1142,0.46,1384,0.45,1391,0.368,1848,0.009,無,0,無,0
F9302-25101753,F9302-25101753,NB,6,SW-81105C0,Y,1.04167,Rapido-2,100,1300,900,45*40,13.00,2430.00,10.00,A1605-25090023-1A,N,23.81,22.90,-0.90,,-2.40,-2.24,0.15,-7.99,-8.16,-0.17,,,,,,,0.71,1593,1,1578,0.64,1391,0.55,1191,0.37,無,0,無,0,無,0
F9302-25101843,F9302-25101843,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1250,1000,30*40,85.50,334.68,6.25,1911195-3A,N,16.18,16.43,0.25,,0.51,0.47,-0.04,-1.46,-1.49,-0.03,,,,,,,0.26,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.002,無,0,無,0
F9302-25101844,F9302-25101844,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1350,1150,30*30,83.75,369.42,6.27,1911195-3A,N,16.18,16.43,0.25,,0.51,0.48,-0.03,-1.46,-1.36,0.10,,,,,,,0.28,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.002,無,0,無,0
F9302-25101845,F9302-25101845,BK,3,SK-1107C0,N,0.83333,Conveyor-1,300,80,250,120,511.00,57.29,12.50,A1605-22030024-3B,N,17.27,17.36,0.09,,0.48,0.23,-0.24,-0.59,-0.57,0.02,,,,,,,0.37,1862,2.3,1142,0.46,1384,0.45,1391,0.368,1848,0.009,無,0,無,0
F9302-25101886,F9302-25101886,BK,3,SCK-3549,N,1.04167,Rapido-1,600,1300,1100,30*40,56.25,423.66,9.26,1911097-1A,N,15.26,15.26,0.00,,0.48,0.48,0.00,-1.17,-1.07,0.10,,,,,,,0.14,1862,3.96,1724,1.056,1430,0.57,1142,0.12,1588,0.005,無,0,無,0
F9302-25101898,F9302-25101898,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1350,1150,30*40,84.25,278.24,6.25,1911195-3A,N,16.18,16.37,0.19,,0.51,0.43,-0.08,-1.46,-1.45,0.02,,,,,,,0.22,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.002,無,0,無,0
