發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-26031964,F9302-26031964,BK,3,SW-80180C0,N,1.04167,Rapido-2,400,1350,1200,30*30,42.50,404.14,7.89,A1605-24030140-4D,N,17.97,17.81,-0.16,-0.14,0.93,0.86,-0.07,-2.55,-2.67,-0.12,,2.80,0.11,,287.87,-0.14,0.23,1862,3.22,1430,0.245,1722,0.216,無,0,無,0,無,0,無,0
F9302-26031977,F9302-26031977,BR,2,SW-8965C0,Y,0.69444,Rapido-2,400,14000,1000,40*40,79.50,328.89,4.36,A1605-24090023-3B,Y,40.41,40.24,-0.18,-0.09,6.99,6.98,-0.01,20.32,20.72,0.40,21.49,21.86,0.22,71.02,71.38,0.17,0.29,1142,0.32,1391,0.3068,1201,0.291,1565,0.2883,無,0,無,0,無,0
F9302-26031987,F9302-26031987,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,99.00,206.87,20.00,1711131-1A,N,32.95,32.04,-0.91,-0.53,-0.86,-0.84,0.02,-1.88,-1.89,-0.01,,2.07,0.01,,246.01,0.03,0.53,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26031989,F9302-26031989,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,95.00,231.75,20.00,1711131-1A,N,32.95,32.42,-0.52,-0.31,-0.86,-0.80,0.06,-1.88,-1.71,0.17,,1.89,-0.23,,244.93,-0.02,0.38,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032003,F9302-26032003,WH,3,SW-80180C0,N,1.04167,Rapido-2,400,1350,1200,30*30,44.00,366.36,11.94,A1605-23010064-1A,N,91.58,91.47,-0.11,-0.04,-1.78,-1.95,-0.17,5.02,4.61,-0.40,5.32,5.01,-0.33,109.53,112.88,0.38,0.51,1111,0.006052,1310,0.002914,1510,0.0028,無,0,無,0,無,0,無,0
F9302-26032008,F9302-26032008,OL,5,SW-8965C0,Y,0.69444,Rapido-2,800,1350,1000,40*40,81.00,308.09,3.98,A1605-24090023-1C,N,29.67,30.66,0.99,0.62,-0.53,-0.40,0.13,5.40,5.39,-0.01,,5.41,-0.02,,94.27,-0.17,0.64,1578,0.516,1191,0.41412,1391,0.33321,1201,0.22695,無,0,無,0,無,0
F9302-26032021,F9302-26032021,BK,3,SK-693,N,1.04167,Rapido-2,50,1250,1000,30*30,9.00,3900.78,11.11,A1605-22060206-1A,Y,15.86,14.52,-1.34,-1.31,-0.30,-0.68,-0.38,-3.22,-3.13,0.09,,3.20,-0.04,,257.79,-0.51,1.41,1862,2.25,1848,0.5,1724,0.16,1430,0.0845,1593,0.04,無,0,無,0
F9302-26032024,F9302-26032024,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,90.00,202.78,20.00,1711131-1A,N,32.95,32.26,-0.68,-0.40,-0.86,-0.92,-0.06,-1.88,-2.06,-0.18,,2.25,0.25,,245.93,0.02,0.47,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032025,F9302-26032025,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,95.00,201.96,20.00,1711131-1A,N,32.95,31.79,-1.16,-0.68,-0.86,-1.04,-0.18,-1.88,-2.06,-0.18,,2.31,0.32,,243.21,-0.11,0.76,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032034,F9302-26032034,BR,6,SCK-3883,Y,1.04167,Rapido-2,400,1250,1000,35*40,54.00,315.11,6.90,A1605-25030165-2A1,N,23.98,23.56,-0.41,-0.30,3.74,3.82,0.08,5.17,4.95,-0.22,6.38,6.26,-0.12,54.16,52.36,-0.34,0.47,1391,0.2,1191,0.12,1578,0.115,1201,0.1,無,0,無,0,無,0
F9302-26032050,F9302-26032050,BK,7,SW-80087C0,Y,1.04167,Rapido-2,400,1400,1000,40*30,66.00,503.24,4.48,A1605-26010126-1E,N,19.23,18.32,-0.91,-0.77,-0.11,-0.18,-0.06,-3.15,-3.14,0.00,3.15,3.15,0.00,267.98,266.81,-0.08,0.78,1862,2.5705,1576,0.776,1391,0.2976,1142,0.1615,無,0,無,0,無,0
F9302-26032069,F9302-26032069,GY,4,SW-81081C0,Y,1.04167,Rapido-2,400,1300,1050,30*40,74.00,296.31,4.10,A1605-25020037-1A,Y,32.79,34.16,1.37,0.80,-0.05,-0.58,-0.53,-1.46,-0.76,0.70,1.46,0.96,-0.69,268.01,232.69,-1.00,1.46,1576,0.744,1191,0.2134,1430,0.18424,1722,0.1536,無,0,無,0,無,0
F9302-26032087,F9302-26032087,BR,5,SW-80379SC0,Y,1.04167,Rapido-2,800,1500,1100,45*40,43.75,708.69,4.15,A1605-26010099-2B,N,24.61,25.84,1.23,0.87,3.86,3.99,0.13,6.25,6.20,-0.06,7.35,7.37,0.02,58.32,57.22,-0.25,0.91,1576,1.02885,1722,0.5415,1191,0.4465,1391,0.4332,無,0,無,0,無,0
F9302-26032093,F9302-26032093,RE,2,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*40,14.00,4479.71,7.69,A1605-25030247-1B,Y,69.58,68.46,-1.12,-0.44,10.04,9.51,-0.54,1.76,1.40,-0.36,10.20,9.61,-0.49,9.97,8.40,-0.33,0.73,1310,0.1265,1111,0.05335,1510,0.02987,無,0,無,0,無,0,無,0
F9302-26032102,F9302-26032102,GY,4,SCK-3883,Y,1.04167,Rapido-2,100,1250,1000,35*40,15.00,1588.53,7.69,A1605-25100171-1A,N,57.00,56.78,-0.22,-0.09,-0.57,-0.68,-0.11,-4.19,-3.87,0.33,4.23,3.93,-0.34,262.25,259.97,-0.21,0.41,1534,0.59945,1233,0.24576,1451,0.24255,無,0,無,0,無,0,無,0
F9302-26032120,F9302-26032120,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,99.00,172.34,20.00,1711131-1A,N,32.95,32.05,-0.90,-0.53,-0.86,-0.91,-0.06,-1.88,-2.07,-0.20,,2.27,0.27,,246.21,0.04,0.59,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032122,F9302-26032122,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,93.00,251.59,20.00,1711131-1A,N,32.95,31.64,-1.31,-0.77,-0.86,-0.82,0.03,-1.88,-2.08,-0.20,,2.24,0.23,,248.42,0.15,0.81,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032136,F9302-26032136,BK,5,SCK-4284,N,1.04167,Rapido-2,400,1300,1050,35*40,54.00,441.15,5.15,A1605-25080190-3C,N,23.29,23.21,-0.08,-0.06,-0.91,-0.78,0.13,-2.49,-2.76,-0.27,2.65,2.87,0.27,249.96,254.19,0.27,0.39,1862,1.6,1430,0.3298,1142,0.1564,無,0,無,0,無,0,無,0
F9302-26032145,F9302-26032145,BR,5,SW-80379SC0,Y,1.04167,Rapido-2,800,1500,1100,45*40,48.00,667.42,4.15,A1605-26010099-2B,N,24.61,25.74,1.13,0.81,3.86,3.99,0.13,6.25,6.14,-0.11,7.35,7.32,-0.02,58.32,56.99,-0.31,0.86,1576,1.02885,1722,0.5415,1191,0.4465,1391,0.4332,無,0,無,0,無,0
F9302-26032155,F9302-26032155,OL,5,SW-8965C0,Y,0.69444,Rapido-2,800,1300,1000,40*30,78.25,371.99,3.68,A1605-24090023-1C,N,29.67,30.67,1.00,0.63,-0.53,-0.41,0.12,5.40,5.63,0.23,,5.64,0.23,,94.21,-0.19,0.69,1578,0.504,1191,0.41412,1391,0.33321,1201,0.22695,無,0,無,0,無,0
F9302-26032176,F9302-26032176,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,96.00,227.78,20.00,1711131-1A,N,32.95,30.83,-2.12,-1.24,-0.86,-0.93,-0.07,-1.88,-1.86,0.02,,2.08,0.02,,243.40,-0.10,1.24,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032178,F9302-26032178,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,93.00,222.75,20.00,1711131-1A,N,32.95,32.50,-0.44,-0.26,-0.86,-0.95,-0.09,-1.88,-2.03,-0.16,,2.24,0.23,,245.03,-0.02,0.35,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26032179,F9302-26032179,BK,7,SCK-587,Y,1.04167,Rapido-2,200,1250,1000,40*4,75.00,522.20,4.27,A1605-25060139-1A,Y,19.62,18.66,-0.96,-0.80,-0.07,0.39,0.47,-2.29,-2.12,0.17,,2.15,-0.17,,280.52,0.64,1.04,1862,3.5,1863,0.64,1430,0.257,1191,0.107,無,0,無,0,無,0
